#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,Season
231,Devonte' Graham,NOP,4,21,7.8,2.5,7,35.7,2,4.8,42.1,0.8,1,75,0.5,2,2.5,2.5,0.3,0,2,6.3,2021-21
231,Eugene Omoruyi,DAL,4,17,7.8,3,6.5,46.2,0.5,1.8,28.6,1.3,1.5,83.3,2.3,2.8,5,2.3,1,0.3,1.5,11,2021-21
231,P.J. Washington,CHA,4,18.5,7.8,3,7.5,40,1.3,4.5,27.8,0.5,1,50,1,3.3,4.3,0.3,0.8,1,0.8,8.3,2021-21
236,Dylan Windler,CLE,3,21,7.7,2.7,5,53.3,1.7,3.3,50,0.7,1.3,50,1,2.7,3.7,2,0.7,0.3,0.7,10.7,2021-21
236,Jae Crowder,PHX,3,20.3,7.7,2.7,7.7,34.8,2,5.7,35.3,0.3,0.3,100,0.3,5,5.3,1.3,0.7,0,1.3,8.7,2021-21
236,Robert Covington,LAC,3,26,7.7,2.3,6,38.9,1.7,4.7,35.7,1.3,1.3,100,1,5,6,0.3,1.7,1.3,0.7,12.7,2021-21
236,Tyrese Haliburton,IND,3,25.3,7.7,3,8,37.5,1,2.7,37.5,0.7,0.7,100,1.3,4,5.3,4.3,1.7,0.3,2.3,12,2021-21
240,Chaundee Brown Jr.,ATL,5,12.2,7.6,2.8,6,46.7,1,2.2,45.5,1,1.4,71.4,0.8,0.6,1.4,0.2,0.4,0,0.8,5.2,2021-21
240,Markieff Morris,MIA,5,19,7.6,3,6.8,44.1,0.2,1.8,11.1,1.4,2,70,1.6,3.2,4.8,1.2,0.6,0.4,1,9.2,2021-21
242,Armoni Brooks,TOR,4,13.5,7.5,2.3,5,45,2.3,5,45,0.8,1,75,0.3,0.5,0.8,0.8,0.3,0,0.8,5.5,2021-21
242,Austin Reaves,LAL,6,22,7.5,2.3,6,38.9,1.7,4.8,34.5,1.2,1.2,100,1,1.2,2.2,2.8,1.2,0.2,1,9.2,2021-21
242,Day'Ron Sharpe,BKN,2,9.5,7.5,2.5,4.5,55.6,0,1,0,2.5,3.5,71.4,1.5,2,3.5,0.5,1,0,0,9.5,2021-21
242,Devontae Cacok,SAS,2,10,7.5,3,3.5,85.7,0.5,0.5,100,1,1.5,66.7,0,1.5,1.5,1,0.5,0,0,9.5,2021-21
242,Isaiah Hartenstein,LAC,4,13.3,7.5,3.3,4.5,72.2,0,0,0,1,2,50,1.5,3.5,5,3.5,0.3,1.8,2.3,13.5,2021-21
242,Kent Bazemore,LAL,6,22.5,7.5,2.5,6.7,37.5,1.5,4.2,36,1,1.3,75,0.2,2.8,3,1.2,0.8,0.2,1.5,6.7,2021-21
242,Kira Lewis Jr.,NOP,4,19.3,7.5,3.3,8.3,39.4,0.8,2.3,33.3,0.3,0.3,100,0.5,3.8,4.3,3,0.5,0,0.8,9.5,2021-21
242,Moses Brown,CLE,4,10.3,7.5,2.8,4.5,61.1,0,0,0,2,3.8,53.3,1.5,2.5,4,0,0,0.8,0.3,8.5,2021-21
242,Paul George,LAC,2,17,7.5,3,9,33.3,1,5,20,0.5,0.5,100,0,3,3,3,0.5,0,1.5,6.5,2021-21
242,Saben Lee,DET,4,22.8,7.5,2.5,6.5,38.5,1,1.8,57.1,1.5,2,75,0,2.5,2.5,4,1.3,0.5,0.8,10.5,2021-21
