#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
404,Alondes Williams,DET,5,11.8,4.0,1.6,4.0,40.0,0.2,2.0,10.0,0.6,0.8,75.0,1.0,1.4,2.4,3.2,0.6,0.0,1.0, 6.6
404,Ariel Hukporti,NYK,4,12.3,4.0,1.8,2.8,63.6,0.0,0.0,0.0,0.5,2.0,25.0,0.8,2.5,3.3,0.3,0.8,0.5,0.8, 5.5
404,DeAndre Jordan,DEN,2,14.5,4.0,1.5,2.5,60.0,0.0,0.0,0.0,1.0,3.0,33.3,2.0,4.5,6.5,1.0,0.0,0.0,0.5, 8.0
404,E.J. Liddell,CHI,2,15.0,4.0,1.0,3.5,28.6,0.5,2.5,20.0,1.5,2.0,75.0,1.5,2.5,4.0,0.5,0.5,0.5,0.5, 6.0
404,Isaac Jones,SAC,5,12.4,4.0,1.6,4.0,40.0,0.0,1.4,0.0,0.8,0.8,100,1.2,1.2,2.4,1.4,0.4,0.4,0.6, 5.6
404,Isaiah Collier,UTA,4,16.8,4.0,1.0,3.8,26.7,0.3,1.3,20.0,1.8,1.8,100,0.0,0.3,0.3,4.3,1.8,0.0,3.3, 4.3
404,Jackson Rowe,GSW,2,6.5,4.0,1.5,3.0,50.0,0.0,1.5,0.0,1.0,1.0,100,1.5,1.5,3.0,1.0,0.0,0.5,0.0, 7.0
404,Jaden Springer,BOS,3,14.0,4.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,1.3,75.0,0.7,0.0,0.7,1.7,0.3,0.0,0.7, 3.7
404,Javonte Green,NOP,3,18.7,4.0,1.3,3.0,44.4,0.3,0.7,50.0,1.0,1.3,75.0,0.7,4.0,4.7,1.7,0.7,0.7,0.7, 9.0
404,Jaylen Clark,MIN,4,11.0,4.0,1.8,4.0,43.8,0.5,1.5,33.3,0.0,0.5,0.0,0.8,1.3,2.0,0.5,1.5,0.0,0.5, 4.8
404,Jeff Green,HOU,2,13.0,4.0,1.5,4.0,37.5,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.5,3.5,1.0,1.0,0.0,0.5, 6.5
404,Jeremiah Robinson-Earl,NOP,3,16.0,4.0,1.7,5.7,29.4,0.7,3.7,18.2,0.0,0.0,0.0,0.7,2.3,3.0,0.3,0.3,0.0,0.7, 3.0
404,Jonathan Isaac,ORL,2,7.5,4.0,1.5,2.0,75.0,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.5,0.5, 6.0
404,Kylor Kelley,LAL,1,6.0,4.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0, 3.0
404,Lamar Stevens,DET,3,13.0,4.0,1.7,3.3,50.0,0.3,0.7,50.0,0.3,1.3,25.0,1.0,2.3,3.3,1.3,0.7,1.0,1.0, 6.7
404,Liam Robbins,MIL,4,11.8,4.0,1.8,4.0,43.8,0.3,1.0,25.0,0.3,0.5,50.0,0.8,2.0,2.8,1.5,0.0,1.5,1.5, 5.8
404,Mac McClung,ORL,2,7.5,4.0,1.5,3.0,50.0,0.5,1.5,33.3,0.5,0.5,100,0.0,0.5,0.5,1.0,0.5,1.0,0.5, 5.0
