#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
102,Jaylen Wells,MEM,19,25.5,12.2,4.4,9.8,44.9,1.9,5.0,38.9,1.4,1.8,76.5,0.8,2.3,3.1,1.8,0.4,0.3,1.2, 10.7
103,P.J. Washington,DAL,14,32.1,12.1,4.6,10.1,45.1,1.1,3.4,31.3,1.9,2.5,77.1,1.9,7.0,8.9,2.1,1.5,1.2,1.5, 18.2
104,Josh Giddey,CHI,20,27.0,12.1,4.5,10.1,44.1,1.3,3.5,37.1,1.9,2.7,71.7,1.3,4.6,5.9,6.6,0.7,0.5,2.4, 16.9
105,Naji Marshall,DAL,19,24.7,12.0,4.8,8.7,55.4,0.7,2.5,29.2,1.6,1.8,88.2,1.2,2.3,3.5,2.5,1.0,0.1,1.5, 13.5
106,Amen Thompson,HOU,20,26.7,11.9,4.4,7.6,57.6,0.3,1.0,30.0,2.9,4.0,73.4,2.2,4.9,7.0,2.1,1.3,1.0,1.8, 17.3
107,Keldon Johnson,SAS,18,26.1,11.9,4.3,10.1,43.1,1.1,4.0,27.8,2.1,2.7,77.6,1.0,4.6,5.6,1.7,0.8,0.2,0.8, 13.1
108,Jabari Smith Jr.,HOU,20,28.7,11.9,4.2,9.3,44.9,1.6,4.5,36.0,2.0,2.3,86.7,1.9,4.6,6.5,0.9,0.3,0.7,0.6, 14.2
109,Ayo Dosunmu,CHI,20,29.2,11.8,4.6,9.6,47.9,1.1,3.9,28.2,1.5,2.0,76.9,0.6,3.2,3.8,4.1,0.5,0.5,1.3, 13.9
110,D'Angelo Russell,LAL,18,26.9,11.8,4.2,10.5,39.7,1.7,5.7,29.4,1.8,2.1,86.5,0.3,1.9,2.2,4.9,0.9,0.2,1.6, 11.9
111,Jonas Valančiūnas,WAS,17,19.4,11.8,4.7,8.2,57.6,0.1,0.4,33.3,2.2,2.4,92.7,2.3,5.3,7.6,2.1,0.4,0.7,1.5, 17.3
112,Brandon Boston Jr.,NOP,16,29.1,11.8,4.4,10.3,42.4,1.3,3.9,31.7,1.8,2.1,82.4,0.9,3.1,4.1,4.1,1.4,0.3,1.7, 13.6
113,Harrison Barnes,SAS,19,29.3,11.7,3.8,7.4,51.8,1.6,3.4,46.9,2.5,3.1,79.7,1.8,2.9,4.7,1.6,0.3,0.2,0.8, 13.6
114,Dalton Knecht,LAL,18,23.3,11.7,4.3,8.4,50.7,2.3,5.2,43.6,0.9,1.0,88.9,0.5,2.6,3.1,1.1,0.5,0.0,0.4, 11.7
115,Scoot Henderson,POR,16,26.5,11.7,4.3,10.4,41.6,1.0,3.1,32.0,2.1,2.8,75.0,0.7,2.2,2.9,5.4,0.9,0.1,3.1, 11.3
116,Julian Champagnie,SAS,19,29.3,11.6,4.1,9.4,43.3,2.4,6.7,35.4,1.1,1.3,87.5,0.8,4.3,5.1,1.7,0.9,0.6,1.2, 13.3
117,Stephon Castle,SAS,19,26.6,11.5,4.1,10.2,39.7,1.2,4.0,28.9,2.2,3.1,71.2,0.8,1.9,2.7,3.8,0.8,0.4,1.7, 10.5
117,Zaccharie Risacher,ATL,19,24.5,11.5,4.1,10.4,39.4,1.3,4.7,26.7,2.0,2.8,70.4,1.2,2.5,3.7,1.4,0.9,0.7,1.2, 9.8
119,Tari Eason,HOU,20,22.8,11.4,4.6,9.2,49.7,0.9,2.8,32.1,1.4,1.8,77.1,2.1,4.2,6.3,1.1,2.1,1.1,0.9, 16.0
120,Clint Capela,ATL,19,22.5,11.2,4.9,8.1,60.4,0.0,0.0,0.0,1.4,2.5,55.3,3.4,4.9,8.3,1.4,0.5,0.8,0.8, 17.0
121,Zach Edey,MEM,14,20.1,11.1,4.6,7.5,61.0,0.4,0.7,60.0,1.6,2.4,66.7,3.1,3.9,6.9,0.8,0.9,1.0,1.6, 15.4
122,Tyus Jones,PHX,18,32.4,11.1,4.3,9.6,45.3,1.9,5.2,37.2,0.4,0.6,80.0,0.7,2.0,2.7,7.1,1.2,0.1,1.1, 15.7
123,Corey Kispert,WAS,17,28.5,11.0,4.0,9.9,40.5,1.9,6.3,30.8,1.1,1.3,81.8,0.2,3.0,3.2,1.5,0.7,0.1,1.2, 9.2
124,Deni Avdija,POR,19,26.5,10.9,3.5,8.9,38.8,1.1,3.6,29.4,2.9,3.8,77.8,1.3,4.7,6.1,3.2,1.1,0.9,2.1, 13.7
125,Duncan Robinson,MIA,15,21.7,10.9,3.8,9.2,41.3,2.7,6.7,40.0,0.6,0.8,75.0,0.3,2.0,2.3,1.9,0.5,0.2,0.8, 9.4
126,Alexandre Sarr,WAS,17,26.2,10.8,4.1,10.6,38.1,1.1,4.5,25.0,1.5,2.4,65.0,1.9,4.4,6.3,2.2,0.8,1.9,1.4, 13.1
